Date,Open,High,Low,Close,Volume
29/05/2024 16:00:00,189.61,192.25,189.51,190.29,53068016
30/05/2024 16:00:00,190.76,192.18,190.63,191.29,49947941
31/05/2024 16:00:00,191.44,192.57,189.91,192.25,75158277
03/06/2024 16:00:00,192.9,194.99,192.52,194.03,50080539
04/06/2024 16:00:00,194.64,195.32,193.03,194.35,47471445
05/06/2024 16:00:00,195.4,196.9,194.87,195.87,54156785
06/06/2024 16:00:00,195.69,196.5,194.17,194.48,41181753
07/06/2024 16:00:00,194.65,196.94,194.14,196.89,53103912
10/06/2024 16:00:00,196.9,197.3,192.15,193.12,97262077
11/06/2024 16:00:00,193.65,207.16,193.63,207.15,172373296
12/06/2024 16:00:00,207.37,220.2,206.9,213.07,198134293
13/06/2024 16:00:00,214.74,216.75,211.6,214.24,97862729
14/06/2024 16:00:00,213.85,215.17,211.3,212.49,70122748
17/06/2024 16:00:00,213.37,218.95,212.72,216.67,93728300
18/06/2024 16:00:00,217.59,218.63,213,214.29,79943254
20/06/2024 16:00:00,213.93,214.24,208.85,209.68,86172451
21/06/2024 16:00:00,210.39,211.89,207.11,207.49,246421353
24/06/2024 16:00:00,207.72,212.7,206.59,208.14,80727006
25/06/2024 16:00:00,209.15,211.38,208.61,209.07,56713868
26/06/2024 16:00:00,211.5,214.86,210.64,213.25,66213186
27/06/2024 16:00:00,214.69,215.74,212.35,214.1,49772707
28/06/2024 16:00:00,215.77,216.07,210.3,210.62,82542718
01/07/2024 16:00:00,212.09,217.51,211.92,216.75,60402929
02/07/2024 16:00:00,216.15,220.38,215.1,220.27,58046178
03/07/2024 13:05:00,220,221.55,219.03,221.55,37369801
05/07/2024 16:00:00,221.65,226.45,221.65,226.34,60412408
08/07/2024 16:00:00,227.09,227.85,223.25,227.82,59085861
09/07/2024 16:00:00,227.93,229.4,226.37,228.68,48169822
10/07/2024 16:00:00,229.3,233.08,229.25,232.98,62627687
11/07/2024 16:00:00,231.39,232.39,225.77,227.57,64710617
12/07/2024 16:00:00,228.92,232.64,228.68,230.54,53046527
15/07/2024 16:00:00,236.48,237.23,233.09,234.4,62631252
16/07/2024 16:00:00,235,236.27,232.33,234.82,43234278
17/07/2024 16:00:00,229.45,231.46,226.64,228.88,57345884
18/07/2024 16:00:00,230.28,230.44,222.27,224.18,66034585
19/07/2024 16:00:00,224.82,226.8,223.28,224.31,49151453
22/07/2024 16:00:00,227.01,227.78,223.09,223.96,48201835
23/07/2024 16:00:00,224.37,226.94,222.68,225.01,39960260
24/07/2024 16:00:00,224,224.8,217.13,218.54,61777576
25/07/2024 16:00:00,218.93,220.85,214.62,217.49,51391199
26/07/2024 16:00:00,218.7,219.49,216.01,217.96,41601345
29/07/2024 16:00:00,216.96,219.3,215.75,218.24,36311778
30/07/2024 16:00:00,219.19,220.33,216.12,218.8,41643840
31/07/2024 16:00:00,221.44,223.82,220.63,222.08,50036262
01/08/2024 16:00:00,224.37,224.48,217.02,218.36,62500996
02/08/2024 16:00:00,219.15,225.6,217.71,219.86,105568560
05/08/2024 16:00:00,199.09,213.5,196,209.27,119548589
06/08/2024 16:00:00,205.3,209.99,201.07,207.23,69660488
07/08/2024 16:00:00,206.9,213.64,206.39,209.82,63516417
08/08/2024 16:00:00,213.11,214.2,208.83,213.31,47161149
09/08/2024 16:00:00,212.1,216.78,211.97,216.24,42201646
12/08/2024 16:00:00,216.07,219.51,215.6,217.53,38028092
13/08/2024 16:00:00,219.01,221.89,219.01,221.27,44155331
14/08/2024 16:00:00,220.57,223.03,219.7,221.72,41960574
15/08/2024 16:00:00,224.6,225.35,222.76,224.72,46414013
16/08/2024 16:00:00,223.92,226.83,223.65,226.05,44340240
19/08/2024 16:00:00,225.72,225.99,223.04,225.89,40687813
20/08/2024 16:00:00,225.77,227.17,225.45,226.51,30299033
21/08/2024 16:00:00,226.52,227.98,225.05,226.4,34765480
22/08/2024 16:00:00,227.79,228.34,223.9,224.53,43695321
23/08/2024 16:00:00,225.66,228.22,224.33,226.84,38677250
26/08/2024 16:00:00,226.76,227.28,223.89,227.18,30602208
27/08/2024 16:00:00,226,228.85,224.89,228.03,35934559
28/08/2024 16:00:00,227.92,229.86,225.68,226.49,38052167
29/08/2024 16:00:00,230.1,232.92,228.88,229.79,51906297
30/08/2024 16:00:00,230.19,230.4,227.48,229,52990770
03/09/2024 16:00:00,228.55,229,221.17,222.77,50190574
04/09/2024 16:00:00,221.66,221.78,217.48,220.85,43840196
05/09/2024 16:00:00,221.63,225.48,221.52,222.38,36615398
06/09/2024 16:00:00,223.95,225.24,219.77,220.82,48423011
09/09/2024 16:00:00,220.82,221.27,216.71,220.91,67179965
10/09/2024 16:00:00,218.92,221.48,216.73,220.11,51591033
